Shutter Speed (ms):, 27.5833
Gain (dB):, 0
Sharpness:, 1426
150,19189.5
151,18384.2
152,18379.5
153,18474.9
154,18520.2
155,18594.9
156,18766.4
157,19017.6
158,19373.2
159,19737.8
160,20164.9
161,20641.9
162,21171.9
163,21829
164,22532.6
165,23240.6
166,24109.1
167,25100.1
168,26226.2
169,27258
170,28443
171,29612.1
172,30888
173,32225.1
174,33566.4
175,35285.5
176,36955.6
177,39127.4
178,40903.8
179,42638.1
180,44065.9
181,44778.7
182,44768.2
183,43702
184,41879.8
Best Voltage Step Value:, 181
