Shutter Speed (ms):, 33.25
Gain (dB):, 0
Sharpness:, 1426
150,20023.2
151,19513
152,19582.9
153,19830.3
154,20236.5
155,20375.9
156,20228.7
157,19841.4
158,19126.4
159,18292.5
160,17478.1
161,16506.4
162,15741.2
163,15054.4
164,14303.2
165,13695
166,13119.6
167,12546.6
168,11907.1
169,11320.1
170,10837.1
171,10289.5
172,9718.88
173,9414.31
174,9068.42
175,8776.82
176,8540.43
177,8356.44
178,8208.72
179,8135.19
180,8067.37
181,8053.85
182,8022.54
183,7990.03
184,7972.35
185,7921.9
186,7942.98
187,7933.71
188,7902.93
189,7896.94
190,7878.91
191,7882.47
192,7855.26
193,7817.11
194,7831.78
Best Voltage Step Value:, 155
