Shutter Speed (ms):, 27.5833
Gain (dB):, 0
Sharpness:, 1426
150,18438.6
151,17932.4
152,17948.9
153,17916.1
154,17904.3
155,17984.4
156,18068.2
157,18232.8
158,18230.4
159,18717
160,19024.6
161,19498.3
162,20010.7
163,20569.8
164,21336.7
165,22077.9
166,22944.2
167,23923.1
168,24919.2
169,25991.2
170,27017
171,27875.4
172,28898.6
173,29962.7
174,30913.2
175,32131.9
176,33511.9
177,35191.6
178,37036.9
179,39054.1
180,41200.8
181,43689.8
182,45186.5
183,44970.8
184,43634.2
Best Voltage Step Value:, 182
